#{"t_start": 1654704754.9331267, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-22,108,0.1665
-8,108,0.315499
-9,71,0.407499
-15,71,0.502499
-13,71,0.596498
11,71,0.696499
7,71,0.804498
-11,71,0.915001
7,71,1.022601
3,71,1.135652
-24,72,1.254
3,71,1.358502
-8,108,1.509499
-14,108,1.671
9,71,1.799501
21,71,1.925499
-1,71,2.0435
3,75,2.156499
21,71,2.263602
23,71,2.374609
31,71,2.476498
-29,71,2.578
53,71,2.675999
13,71,2.7775
51,71,2.875998
47,71,3.004499
32,144,3.215096
-1,71,3.312998
56,72,3.427
49,71,3.535651
56,72,3.658999
3,71,3.780139
64,72,3.919999
65,71,4.033595
11,71,4.131999
57,73,4.235999
-27,71,4.3415
-21,71,4.432003
13,71,4.5754
68,72,4.7
-8,72,4.829501
10,72,4.951499
67,71,5.044498
68,72,5.1435
72,72,5.261789
69,71,5.358502
3,71,5.459
1,71,5.570998
70,72,5.688001
-11,71,5.802499
-1,71,5.904499
65,71,5.9985
65,71,6.093666
15,109,6.242999
-19,71,6.337999
6,144,6.525
9,71,6.624
17,71,6.7385
-1,73,6.843
71,71,6.945499
72,72,7.057001
75,71,7.158054
-3,71,7.252
-7,71,7.356649
-1,73,7.494661
-23,71,7.626498
38,108,7.786499
3,71,7.895499
-3,71,8.002998
-18,108,8.147
71,71,8.243498
-19,71,8.340118
69,71,8.438
71,71,8.532
71,71,8.621999
75,71,8.714501
-15,71,8.803499
-13,71,8.894998
67,71,8.992
40,108,9.131999
71,71,9.219499
-1,71,9.3145
30,108,9.454498
-1,73,9.585499
71,71,9.684999
13,71,9.797999
18,180,10.0895
28,108,10.264106
71,71,10.3745
75,71,10.500499
71,71,10.602998
-3,71,10.7115
14,72,10.829002
5,71,10.948
-19,71,11.054247
-9,71,11.220002
-1,71,11.323
-1,71,11.442998
9,71,11.5465
-5,71,11.67259
75,71,11.780582
8,72,11.889999
13,75,12.015999
75,71,12.123502
-25,71,12.229499
-25,71,12.390001
75,71,12.4945
71,71,12.613999
-15,71,12.710468
10,112,12.888002
2,112,13.052498
75,71,13.1625
-5,73,13.281499
71,71,13.380002
-1,73,13.486503
5,71,13.596001
71,71,13.7245
71,71,13.851
71,71,13.948551
-5,73,14.0585
71,71,14.1725
71,71,14.275
71,71,14.386498
71,71,14.514002
-13,71,14.633
-11,71,14.761999
71,71,14.8745
-11,71,14.985466
71,71,15.087502
71,71,15.195001
-1,71,15.322502
56,144,15.538498
71,71,15.662999
7,71,15.770999
7,71,15.915499
5,71,16.044003
71,71,16.161
-1,71,16.258998
11,71,16.376002
16,110,16.5545
11,71,16.672498
17,71,16.796002
7,71,16.916499
17,71,17.016998
71,71,17.127
16,108,17.321999
71,71,17.421001
-9,71,17.533698
5,71,17.636502
3,71,17.736553
-11,71,17.848502
71,71,17.960499
17,71,18.075001
71,71,18.192002
71,71,18.308502
-1,71,18.430499
6,74,18.543499
8,72,18.658
-39,71,18.7755
-11,71,18.879
30,144,19.117999
71,71,19.228506
70,72,19.391501
7,71,19.502
0,144,19.737499
73,71,19.872002
10,108,20.0825
71,71,20.201
34,108,20.37
15,71,20.4895
38,148,20.714001
-17,73,20.840999
79,71,20.948999
54,108,21.108504
71,71,21.210499
11,145,21.444499
-3,71,21.565499
15,71,21.680999
44,108,21.9055
-22,108,22.068499
78,72,22.172998
-35,71,22.291018
10,108,22.463704
82,72,22.582499
-9,71,22.6875
110,72,22.811106
-3,71,22.920088
-3,71,23.026
123,71,23.1575
1,71,23.274998
-1,71,23.3815
3,71,23.4805
-2,108,23.651498
15,71,23.759499
139,71,23.858499
-37,71,23.959998
135,71,24.062999
0,108,24.236
155,71,24.3355
-1,71,24.453999
9,71,24.570999
-1,71,24.692499
3,71,24.807007
155,71,24.910501
5,75,25.037
62,108,25.224999
155,71,25.329002
2,110,25.518498
-12,72,25.633
5,73,25.749499
163,71,25.855499
1,71,25.9645
1,73,26.076583
-26,72,26.215
34,108,26.371003
-25,71,26.472498
147,71,26.574
159,71,26.674999
155,71,26.7765
-10,108,26.9505
155,71,27.080499
-9,71,27.199501
-25,71,27.315499
11,71,27.445999
163,71,27.568
-11,71,27.691498
-3,71,27.799499
0,108,27.962998
-3,71,28.072002
1,71,28.178499
167,71,28.282499
1,71,28.421501
158,72,28.538501
12,108,28.693
159,71,28.841999
-6,72,28.994998
-1,71,29.106501
-5,71,29.2305
163,71,29.362002
-1,71,29.470999
167,71,29.581001
163,71,29.694999
5,71,29.816499
163,71,29.9335
0,72,30.0645
3,71,30.189
167,71,30.309999
5,71,30.417161
-34,72,30.528708
163,71,30.633503
167,71,30.750499
36,108,30.923588
7,71,31.03473
1,71,31.139
9,71,31.239499
167,71,31.370502
29,111,31.547
14,144,31.798499
42,108,31.960007
155,71,32.104604
167,71,32.215998
