#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-31,71,0.014458
-30,108,0.025461
-23,71,0.032463
-36,108,0.042465
-21,71,0.050467
-9,71,0.057469
-17,71,0.06447
-17,71,0.071472
-25,71,0.077473
-18,72,0.084476
-19,71,0.091476
-19,71,0.097479
-15,71,0.104479
-43,71,0.111481
-27,71,0.117482
-38,108,0.127484
-18,74,0.134486
-25,71,0.141487
-35,71,0.147488
-31,71,0.15449
-23,71,0.160491
-22,108,0.170493
-25,71,0.177495
-33,71,0.183497
-35,71,0.190498
-23,71,0.1975
-19,71,0.203501
-29,71,0.210503
-29,71,0.216504
-23,71,0.223506
-30,108,0.232508
-15,71,0.23951
-31,73,0.246511
-37,71,0.252512
-25,71,0.258514
-33,71,0.265515
-43,71,0.271517
-29,71,0.27852
-33,71,0.284521
-27,71,0.291521
-21,71,0.297523
-33,71,0.304524
-33,71,0.310525
-33,71,0.317527
-11,109,0.327531
-25,73,0.334532
-6,108,0.343533
-23,71,0.350535
-41,71,0.358248
-21,71,0.364292
-44,108,0.373842
-4,108,0.384252
-6,144,0.399317
-21,71,0.405316
-25,71,0.412318
-29,71,0.418319
-33,71,0.425321
-29,71,0.431322
-23,71,0.438323
-23,71,0.444325
-27,71,0.451327
-32,72,0.457328
-7,71,0.464329
-32,72,0.470331
-17,71,0.477333
-33,71,0.483334
-16,74,0.490335
-27,71,0.496337
-41,71,0.503339
-35,71,0.509341
-25,71,0.520829
-29,71,0.530163
-40,108,0.542475
-20,110,0.554884
-14,108,0.565881
-25,71,0.573126
-19,71,0.580287
-27,71,0.586796
-54,108,0.598123
-16,72,0.604519
-21,71,0.611213
-15,71,0.617259
-38,72,0.624814
-21,71,0.631366
-21,71,0.637921
-21,71,0.643969
-32,108,0.654057
-21,71,0.660102
-21,71,0.666662
-31,71,0.673213
-20,72,0.679271
-4,180,0.69591
-21,71,0.702465
-29,71,0.709016
-19,71,0.715074
-32,108,0.725645
-13,71,0.733195
-37,71,0.743282
-35,71,0.753201
-23,71,0.760625
-27,71,0.772792
-15,71,0.781362
-21,71,0.789276
-39,71,0.799261
-33,71,0.807894
-20,108,0.82007
-15,71,0.827165
-21,71,0.833243
-30,108,0.843587
-25,71,0.849645
-25,71,0.855778
-27,73,0.862736
-24,108,0.874444
-23,71,0.880742
-29,71,0.887999
-20,72,0.894578
-51,71,0.901126
-33,71,0.909209
-33,71,0.915255
-31,71,0.922311
-31,71,0.928862
-31,71,0.935926
-30,108,0.946001
-19,71,0.952542
-30,108,0.962617
-30,108,0.9737
-27,71,0.980238
-33,71,0.99899
-25,71,1.006025
-29,71,1.012562
-23,71,1.019096
-29,71,1.026136
-25,71,1.032673
-29,71,1.039713
-31,109,1.051288
-40,144,1.065874
-54,108,1.076416
-31,71,1.08295
-36,180,1.100043
-25,71,1.107079
-39,71,1.114118
-43,71,1.120646
-27,71,1.127674
