#{"t_start": 1655027203.6416228, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-25,71,0.059185
-31,71,0.092502
-33,71,0.124503
-33,71,0.152503
-30,72,0.1815
-31,71,0.2125
-28,72,0.244
-34,108,0.290498
-17,71,0.327498
-26,72,0.361499
-33,71,0.399768
-44,144,0.475059
-21,71,0.5125
-34,108,0.566501
-33,71,0.601001
-33,71,0.6455
-19,75,0.687999
-29,71,0.722999
-33,71,0.764
-35,71,0.800501
-29,71,0.847501
-30,108,0.907999
-35,71,0.940003
-35,71,0.972501
-27,71,1.006499
-39,71,1.040999
-37,71,2.71
-24,144,2.765999
-15,73,2.799999
-15,71,2.829499
-17,71,2.858999
-23,71,2.889
-25,71,2.919999
-32,180,3.007999
-23,71,3.042659
-31,71,3.076499
-31,71,3.109499
-15,71,3.141498
-24,108,3.185499
-34,216,3.2795
-8,108,3.329
-17,71,3.359502
-31,71,3.392003
-24,74,3.422498
-14,108,3.470001
-27,71,3.502499
-26,108,3.546499
-16,108,5.262498
-29,71,5.295002
-12,110,5.345499
-12,108,5.390998
-3,109,5.4385
-29,71,5.4675
-31,71,5.495498
-39,71,5.524999
-33,71,5.5545
-37,71,5.586
-18,72,5.615764
-12,72,5.644502
-17,71,5.673498
-26,144,5.734998
-29,71,5.762999
-16,108,5.808
-4,108,5.857002
-56,180,5.936002
-14,72,5.963002
-8,108,6.0065
-29,71,6.038498
-13,71,6.068498
-37,71,6.100499
-15,71,7.748498
-17,71,7.781501
-25,71,7.812999
-11,73,7.846998
-12,144,7.906499
-29,71,7.935499
-16,108,7.983502
2,108,8.028999
-9,71,8.059998
-13,71,8.090001
-29,71,8.12355
-25,71,8.158069
-20,108,8.200498
-11,71,8.227999
-22,108,8.275501
-19,71,8.302037
8,108,8.349665
-32,72,8.378079
-21,71,8.408653
-6,72,8.444501
4,112,8.496002
-27,71,8.525
-17,71,8.553003
-7,75,8.585499
-23,71,8.618499
-43,71,10.251003
8,108,10.293001
-17,71,10.321999
-17,71,10.349541
8,144,10.409499
8,108,10.452999
-19,71,10.481002
-11,71,10.511033
-6,72,10.543998
-5,71,10.574999
-6,108,10.627501
-8,108,10.674
-15,71,10.705499
-1,109,10.751998
-8,144,10.8135
-17,71,10.846499
-19,71,10.877499
-31,71,10.906498
-23,71,10.933999
-15,71,10.964
-28,180,11.061999
-4,72,11.092999
26,108,12.812
-3,73,12.844
-5,73,12.8795
-27,71,12.909999
-22,144,12.972999
-22,72,13.008499
-17,71,13.063002
-18,108,13.112
